userId,username,password,role,customerId,name,email,phone,companyName,vatNumber
1,gpapadopoulos,aK92mdL01pzX4rT5,INDIVIDUAL_CUSTOMER,CUST001,Giannis Papadopoulos,giannis@email.com,6901234567,,
2,mgeorgiou,B7xR3qW8n1m9L0kP,INDIVIDUAL_CUSTOMER,CUST002,Maria Georgiou,maria@email.com,6901234568,,
3,kdimitriou,v4N2m6K8j1H5g3F9,INDIVIDUAL_CUSTOMER,CUST003,Kostas Dimitriou,kostas@email.com,6901234569,,
4,eioannou,T5r4E3w2Q1q0A9z8,INDIVIDUAL_CUSTOMER,CUST004,Eleni Ioannou,eleni@email.com,6901234570,,
5,dandreou,P0o9I8u7Y6t5R4e3,INDIVIDUAL_CUSTOMER,CUST005,Dimitris Andreou,dimitris@email.com,6901234571,,
6,spanagiotou,L2k3J4h5G6f7D8s9,INDIVIDUAL_CUSTOMER,CUST006,Sofia Panagiotou,sofia@email.com,6901234572,,
7,nvasilakis,Z1x2C3v4B5n6M7l8,INDIVIDUAL_CUSTOMER,CUST007,Nikos Vasilakis,nikos@email.com,6901234573,,
8,apetrou,q1W2e3R4t5Y6u7I8,INDIVIDUAL_CUSTOMER,CUST008,Anna Petrou,anna@email.com,6901234574,,
9,tkaragiannis,o9P0i8U7y6T5r4E3,INDIVIDUAL_CUSTOMER,CUST009,Thanasis Karagiannis,thanasis@email.com,6901234575,,
10,kmakri,a1S2d3F4g5H6j7K8,INDIVIDUAL_CUSTOMER,CUST010,Katerina Makri,katerina@email.com,6901234576,,
11,galexiou,z9X8c7V6b5N4m3L2,INDIVIDUAL_CUSTOMER,CUST011,Giorgos Alexiou,giorgos@email.com,6901234577,,
12,vrizou,Q1a2Z3w4S5x6E7d8,INDIVIDUAL_CUSTOMER,CUST012,Vasiliki Rizou,vasiliki@email.com,6901234578,,
13,plymperis,R4f5V6t7G8b9Y0h1,INDIVIDUAL_CUSTOMER,CUST013,Panagiotis Lymperis,panagiotis@email.com,6901234579,,
14,dchristou,U7j8M9i0K1o2L3p4,INDIVIDUAL_CUSTOMER,CUST014,Despoina Christou,despoina@email.com,6901234580,,
15,smichailidis,X5c4V3b2N1m0L9k8,INDIVIDUAL_CUSTOMER,CUST015,Spyros Michailidis,spyros@email.com,6901234581,,
16,zantoniou,J7h6G5f4D3s2A1q0,INDIVIDUAL_CUSTOMER,CUST016,Zoi Antoniou,zoi@email.com,6901234582,,
17,mgrigoriou,W2e3R4t5Y6u7I8o9,INDIVIDUAL_CUSTOMER,CUST017,Michalis Grigoriou,michalis@email.com,6901234583,,
18,gstamou,p0O9i8U7y6T5r4E3,INDIVIDUAL_CUSTOMER,CUST018,Georgia Stamou,georgia@email.com,6901234584,,
19,cnikolopoulos,M1n2B3v4C5x6Z7a8,INDIVIDUAL_CUSTOMER,CUST019,Christos Nikolopoulos,christos@email.com,6901234585,,
20,mvlachou,S9d8F7g6H5j4K3l2,INDIVIDUAL_CUSTOMER,CUST020,Marina Vlachou,marina@email.com,6901234586,,
21,astefanou,1Q2w3E4r5T6y7U8i,INDIVIDUAL_CUSTOMER,CUST021,Andreas Stefanou,andreas@email.com,6901234587,,
22,ipapadaki,9O0p1A2s3D4f5G6h,INDIVIDUAL_CUSTOMER,CUST022,Irene Papadaki,irene@email.com,6901234588,,
23,pgalanis,7J8k9L0zX1cV2bN3,INDIVIDUAL_CUSTOMER,CUST023,Petros Galanis,petros@email.com,6901234589,,
24,dkokkinou,m4Q5w6E7r8T9y0U1,INDIVIDUAL_CUSTOMER,CUST024,Dimitra Kokkinou,dimitra@email.com,6901234590,,
25,sdiamantis,i2O3p4A5s6D7f8G9,INDIVIDUAL_CUSTOMER,CUST025,Stelios Diamantis,stelios@email.com,6901234591,,
26,asamara,h0J1k2L3z4X5c6V7,INDIVIDUAL_CUSTOMER,CUST026,Alexia Samara,alexia@email.com,6901234592,,
27,mkouris,b8N9m0Q1w2E3r4T5,INDIVIDUAL_CUSTOMER,CUST027,Manolis Kouris,manolis@email.com,6901234593,,
28,frapti,y6U7i8O9p0A1s2D3,INDIVIDUAL_CUSTOMER,CUST028,Fotini Rapti,fotini@email.com,6901234594,,
29,lzervos,f4G5h6J7k8L9z0X1,INDIVIDUAL_CUSTOMER,CUST029,Lefteris Zervos,lefteris@email.com,6901234595,,
30,amanti,c2V3b4N5m6Q7w8E9,INDIVIDUAL_CUSTOMER,CUST030,Aggeliki Manti,aggeliki@email.com,6901234596,,
31,comp01,r0T1y2U3i4O5p6A7,COMPANY_CUSTOMER,CUST031,Ioannis Boss,info@techsa.gr,2101234501,Tech Solutions S.A.,090000001
...
52,admin02,X4vC3bN2m1L0kJ9h,ADMIN,,,
